Cliente;Data_Cadastro;Telefone;Email;Valor_Compra;Status;Categoria;ID_Produto;Endereco;Estado;CEP;Produto;Quantidade;Forma_Pagamento;Observacao
Sra. Maria da Rosa;30/08/2023;5531970050393;hcastro@barbosa.com;3196.75;Inativo;Eletrônicos;ii94-88FY;Souza da Praia;AM;57340-564;Tablet;2;PIX;Entregar urgente
Heitor Nunes;13/09/2024;+55 61 0216-1697;vianabarbara@araujo.br;4219,03;Em análise;Eletrônicos;IU90-52UH;Fazenda Silveira, 57, Conjunto Santa Maria, 83444063 Correia / CE;MG;171642;Fone de Ouvido;;;Atraso na entrega
srta. maria fernanda ramos;2023-11-12;(081) 6467-5120;igoncalves@bol.com.br;5252.83;Ativo;Móveis;hZ75-43fU;Recanto de Azevedo, Zilah Sposito, 38973-101 Silva / RO;RJ;60083087;Cadeira;2;;Atraso na entrega
Sr. Davi Luiz Nogueira;30/05/2024;5571924180248;duarteisabel@yahoo.com.br;6374,6;;Móveis;yO08-11ad;Ladeira de Teixeira, 30, Ambrosina, 71548-979 Cunha / AP;SP;775318;Cadeira;;PIX;Atraso na entrega
Dra. Gabrielly Nogueira;2025-01-05;(041) 6272 4483;pireseloah@uol.com.br;6999,73;INATIVO;Roupas;Wk25-55Yv;Viela de da Mota, 9, Vila Madre Gertrudes 2ª Seção, 38793-666 Campos / DF;MG;79368-005;Jaqueta;;Cartão;Cliente VIP
Sr. Maria Vitória Ferreira;2023-08-19;(084) 9250 7461;azevedoluna@gmail.com;9260.61;ativo;Roupas;Ym28-86QE;Residencial Heitor Lopes, 24, Ipiranga, 44345-657 da Conceição de Moreira / RO;AM;03963-737;Vestido;;PIX;Cliente VIP
lorenzo costela;2024-07-29;(071) 7873-7384;bporto@monteiro.net;8443.79;ativo;Roupas;ai94-32tu;Lima;AM;29035239;Calça;;Dinheiro;Entregar urgente
maria fernanda da rosa;2024-04-03;+55 (011) 9968-2081;joao-vitor17@yahoo.com.br;547.03;ativo;Roupas;Hq29-29OX;Chácara de Melo, 53, Vila Da Amizade, 31201754 Moreira / BA;AM;094819;Vestido;1;dinheiro;Cliente VIP
Maysa Carvalho;31/10/2023;5571925856816;larissa34@gmail.com;6329,8;;Roupas;cV23-61BJ;Rodovia Marcelo Rocha, 568, Boa Viagem, 32391-857 Barros da Prata / AP;MG;47770-676;Jaqueta;3;Boleto;Entregar urgente
larissa das neves;2025-03-08;5571950423306;beatrizfogaca@das.net;8671.91;INATIVO;Móveis;ih38-43JP;Lago de da Rocha, 48, Vila Jardim Alvorada, 40641-496 Silva / BA;MG;83607-898;Cadeira;;;Atraso na entrega
Dra. Lucas Gabriel da Luz;05/04/2024;+55 51 5246 6046;praesentium@doloribus;1516.84;Em análise;Alimentos;La28-48NH;Lago Guilherme Nunes, 91, Leonina, 10955-778 Pinto da Serra / CE;MG;00580438;Café;;;Entregar urgente
mirella oliveira;06/02/2025;+55 11 8828-1432;msilveira@duarte.br;6286.41;Inativo;Eletrônicos;wk41-60gw;Ribeiro de Cunha;SP;03147-824;Notebook;;;
Sra. Fernanda Sales;08/05/2024;(051) 7981 6917;nulla@officia;4032,09;;Roupas;NN51-61Gw;Travessa de da Conceição, 6, Vila Canto Do Sabiá, 39052-656 Lima do Amparo / AP;RJ;790655;Camisa;;;Atraso na entrega
Sra. Rodrigo Peixoto;2023-08-30;61 1913-7310;maite55@mendes.net;3716.44;Inativo;Roupas;Op52-47tw;Pires;AM;99469-;Vestido;;Dinheiro;Cliente VIP
Dra. Nina Gonçalves;21/07/2023;51 2156 3185;bianca36@yahoo.com.br;6242.8;;Alimentos;bh23-82XN;Núcleo de Rezende, 75, Providencia, 41827-115 Novaes Paulista / PB;MG;07557-172;Bolacha;;dinheiro;Cliente VIP
Laura Pires;28/06/2024;(061) 1545 3672;enrico68@martins.com;1564.1;ativo;Eletrônicos;ME25-34RT;Vale de Mendes, 2, Vila São João Batista, 71756357 da Paz / MS;MG;321751;Smartphone;;dinheiro;Atraso na entrega
Vicente da Rocha;31/10/2024;+55 (071) 7971 4385;facilis@repellat;9655.66;;Eletrônicos;Aa44-95Aj;Lagoa de Ferreira, 27, São Damião, 21898526 Rodrigues / ES;XX;31776469;Smartphone;;dinheiro;Atraso na entrega
Sophie Moreira;14/10/2024;0300-641-3461;liviafogaca@gomes.org;1036,14;Inativo;Alimentos;Yy37-64ki;Loteamento de Freitas, 880, Xodo-Marize, 05586-105 Aragão / PA;SP;88940553;Chocolate;;Boleto;Entregar urgente
Dra. Joaquim Pires;2024-12-07;+55 (051) 7803-8329;yribeiro@fernandes.com;3140,71;Ativo;Eletrônicos;Wr18-51Jp;Campo Leandro Gonçalves, 90, Vila Santo Antônio, 00277-467 Farias / RR;XX;84902-778;Tablet;;PIX;Entregar urgente
Júlia Cavalcanti;08/09/2023;+55 (021) 5300-4475;matheusporto@hotmail.com;1895.32;Inativo;Eletrônicos;Ej61-07VY;Monteiro;AM;87968139;Fone de Ouvido;2;Dinheiro;
Dr. Davi Sales;2025-03-10;5541936332122;mendesmatheus@da.br;3758,2;ativo;Eletrônicos;YR61-28Se;Vereda Evelyn Nunes, Zilah Sposito, 19248-001 Moura do Sul / BA;MG;12573-;Tablet;1;Cartão;
Sra. Diogo Novaes;30/07/2024;31 2767 8277;almeidapaulo@cunha.org;2839.53;;Alimentos;Zm94-24Sz;Trevo de Santos, 23, Universo, 22613-330 Fernandes / SC;SP;11263511;Chocolate;;;Cliente VIP
Isabella Nunes;20/06/2023;(041) 3746-3338;vnovaes@bol.com.br;4199,32;Inativo;Eletrônicos;Te50-45YP;Pátio Barros, 9, Horto Florestal, 80785-924 Rezende / MT;MG;85633206;Fone de Ouvido;3;Boleto;
Dra. Stella da Rocha;2024-11-24;5511904141222;sequi@ea;3363.59;Inativo;Alimentos;uK93-00on;Conjunto Camila das Neves, Belvedere, 32861134 Vieira / PI;SP;28221-332;Refrigerante;;Dinheiro;
Isabel Monteiro;2023-05-18;(031) 5333 7463;rem@odit;53.87;Em análise;Roupas;Zw47-69aW;Lagoa de Almeida, 15, São Bento, 93229-229 Rodrigues de Novaes / MS;SP;14876-182;Vestido;2;;Entregar urgente
guilherme pires;2024-03-05;5521951183345;souzabeatriz@alves.com;3694.28;Inativo;Móveis;sT36-69qZ;Viela de Gonçalves, 88, Novo Aarão Reis, 13722-554 Caldeira / AP;RJ;34210-118;Armário;5;Cartão;Atraso na entrega
Dr. Cauê Alves;2023-10-14;+55 (051) 4392-6426;lorenzo23@jesus.com;1199.59;Inativo;Alimentos;OK14-89qL;Largo Felipe Aragão, 561, Vila Cloris, 25039-610 da Cruz / PI;MG;40810-374;Bolacha;;Dinheiro;Atraso na entrega
luiz fernando fernandes;2024-05-27;5511910093080;gmoraes@hotmail.com;754.4;Inativo;Móveis;mv56-07qD;Sítio Aragão, 67, Buraco Quente, 50004-572 Rezende / PI;RS;76004-678;Cadeira;;Dinheiro;Cliente VIP
Yuri Fogaça;2023-07-05;81 6356 0575;lucca19@lopes.com;4848.16;Ativo;Roupas;ED81-32oo;Trecho Campos, 51, Cidade Jardim, 73794-542 Castro / MT;MG;16101427;Jaqueta;;;Entregar urgente
Sr. Maria Julia da Mota;28/02/2024;+55 (081) 4616-4816;catarina18@novaes.br;2781.9;;Móveis;Zi97-16Fi;Recanto Teixeira, Liberdade, 39433458 Correia do Campo / PA;RJ;81870495;Mesa;;Cartão;
Dr. Ana Luiza Dias;25/01/2025;5511912192968;pbarbosa@vieira.com;5169,81;Em análise;Móveis;nR29-39AW;Chácara de Teixeira, 58, Cidade Jardim Taquaril, 84417135 Moreira / MS;XX;11506-676;Armário;;Cartão;
bárbara da cruz;2023-06-21;+55 (011) 2800 9529;arthur14@hotmail.com;9258,83;Em análise;Móveis;iU28-01HH;Via Ana Clara Ferreira, Garças, 98824-926 Azevedo / RJ;MG;238364;Mesa;;dinheiro;Entregar urgente
Milena das Neves;18/08/2024;5561941734238;accusantium@exercitationem;8992,69;;Alimentos;gC44-91xK;Trevo Costa, 703, Ermelinda, 96742191 Lima / RR;SP;34146-693;Refrigerante;;PIX;Atraso na entrega
Marcelo Cardoso;23/01/2024;+55 (011) 2938-2254;enzo-gabriel88@melo.br;8210,14;Ativo;Alimentos;VZ48-68zE;Estrada Laura Silveira, 43, Liberdade, 45314-860 Gomes das Flores / RS;SP;03456-507;Café;;dinheiro;
Sr. João Miguel Barbosa;25/05/2023;0500-294-2898;maria-ceciliacampos@sales.com;3576.92;INATIVO;Alimentos;By42-50ic;Rodovia Araújo, 887, Ribeiro De Abreu, 52050256 Duarte / GO;MG;08744984;Refrigerante;;;Entregar urgente
vitor silva;2024-04-15;+55 (081) 9365 6609;veniam@incidunt;5772,67;ativo;Alimentos;Kg47-37FT;Favela Sofia Teixeira, 12, Vila São Francisco, 52157473 Ferreira / RR;XX;12881948;Chocolate;;dinheiro;Atraso na entrega
Ana Julia da Paz;2024-08-10;61 7470-0094;bernardocunha@novaes.br;1133.51;ativo;Alimentos;Gg93-61sR;Setor Rocha, 2, Vila Vista Alegre, 42692-139 Rodrigues Alegre / MS;RJ;03030029;Bolacha;;PIX;Atraso na entrega
Giovanna da Luz;27/01/2024;5584962779950;lunaferreira@yahoo.com.br;5407.28;Ativo;Alimentos;yg23-85Ae;Praça Leonardo Sales, Grotinha, 63768-492 Almeida / BA;RS;90268812;Café;4;Dinheiro;Atraso na entrega
Isabelly Pires;2024-02-01;5511902606457;moreiramaria@gomes.br;4306,85;Inativo;Alimentos;ni67-55Bi;Sítio Novaes, 2, Pompéia, 77108918 Monteiro das Pedras / SP;AM;09723-745;Chocolate;;PIX;Entregar urgente
dr. diego santos;2024-02-21;5581907929143;mda-costa@pereira.br;2075,78;ativo;Móveis;cf13-74Mm;Vale Dias, 849, Vila Paquetá, 49725-743 Moraes / MS;SP;46892573;Sofá;;dinheiro;Atraso na entrega
Ana Clara Almeida;2023-07-19;81 5953 8831;augusto55@gmail.com;9045,26;;Roupas;zY95-95sf;Campo Ana Carolina Ramos, 27, Vila Calafate, 35374-005 Pereira / MA;RS;94152-283;Calça;;Boleto;Entregar urgente
pedro lucas nogueira;16/03/2024;0300 214 5433;azevedopedro@barros.com;5330,14;Inativo;Alimentos;jy99-04Mr;Travessa de Vieira, 9, Piratininga, 03786118 Freitas / GO;MG;27950676;Bolacha;2;Dinheiro;
joão guilherme nascimento;2024-01-10;5581900045928;fugit@dolorem;3375.81;;Roupas;fc50-57cG;Pátio da Mota, 26, Satelite, 73816-158 Almeida das Flores / AM;RJ;61525-500;Calça;;PIX;Cliente VIP
Julia Cardoso;2023-08-11;(061) 0068 6726;diegofreitas@silva.com;7027,88;;Móveis;jS32-25wv;Morro Sales, Lajedo, 78081-794 Caldeira de Campos / RO;MG;79771-705;Sofá;;;Entregar urgente
Maysa Teixeira;2023-06-13;+55 41 9796-3201;ana-luiza49@rodrigues.org;3140,04;INATIVO;Eletrônicos;XF70-51Lp;Parque Ferreira, 4, Olaria, 44011-538 Gonçalves / SP;RS;24425-686;Smartphone;;Boleto;
Maria Cecília Pereira;10/07/2023;(031) 1132 3352;anasales@hotmail.com;4716.6;INATIVO;Eletrônicos;gx49-69Qb;Sítio Sophie Monteiro, 5, Vila Vista Alegre, 03068444 Mendes / RS;XX;29330205;Smartphone;;;Cliente VIP
Dra. Danilo Moura;2024-02-17;81 9880 5839;caragao@yahoo.com.br;1017.33;;Eletrônicos;dm90-64qC;Recanto de Duarte, 80, Vila Dos Anjos, 94562926 Souza Grande / DF;RS;04698950;Notebook;;;Atraso na entrega
Dr. Evelyn Barros;2024-02-24;+55 (061) 4896 5117;tsilva@silva.br;328,92;;Eletrônicos;tj33-66ih;Viela de Nascimento, 71, Santo Agostinho, 75408384 Carvalho / AP;RJ;92799501;Fone de Ouvido;3;dinheiro;
gustavo monteiro;05/09/2023;+55 (041) 8825 3679;vcardoso@souza.com;9291,99;INATIVO;Eletrônicos;tX14-27rC;Área Davi Luiz Sales, 92, Ouro Minas, 08093-890 Melo do Campo / RS;AM;58965149;Notebook;;Boleto;Entregar urgente
igor sales;2024-11-16;5581906977359;lucas61@uol.com.br;3079,76;;Móveis;jH31-41Pl;Rezende do Amparo;SP;15032-937;Sofá;;;Atraso na entrega
Sr. Bárbara Correia;22/10/2024;+55 81 5265-7176;lrezende@cunha.org;6538.52;;Eletrônicos;qX46-85Ta;das Neves de da Costa;SP;60828568;Notebook;;Dinheiro;
Srta. Maysa Dias;2024-03-07;(071) 4990-1319;vieiralara@bol.com.br;6771,39;INATIVO;Roupas;KJ53-96Jc;Almeida;MG;29670860;Calça;;;Atraso na entrega
juan pinto;2024-02-26;5561920903337;kcunha@da.com;2287,64;ativo;Roupas;lW10-10Px;Freitas;XX;27927-938;Vestido;1;Dinheiro;Cliente VIP
Dra. Benjamin Pinto;05/04/2025;11 5109 5531;theo55@nunes.net;9069.73;ativo;Eletrônicos;qL54-85Gl;Setor Yago Silveira, 51, Vila Antena, 90490-987 Cardoso / BA;MG;58196442;Smartphone;;Cartão;Atraso na entrega
Giovanna Rezende;2023-09-14;+55 (071) 0866 3051;ferreiraleandro@farias.br;6512,61;Ativo;Alimentos;RX52-21Wz;Nunes;MG;13567-410;Refrigerante;;Dinheiro;Atraso na entrega
Dr. Laura Viana;2024-01-20;(081) 0280 0797;pietro31@porto.com;2029,69;;Eletrônicos;oy39-77KZ;Residencial Maria Ribeiro, Nova America, 79293-616 Costa de da Mata / MT;SP;98676-598;Fone de Ouvido;;PIX;Entregar urgente
evelyn da rocha;2024-02-06;(061) 7784-6941;samueldias@vieira.com;6371,22;Ativo;Móveis;Ht60-68in;Colônia Juliana Moura, 80, Marçola, 78126-989 Moura das Flores / SC;AM;13247-041;Sofá;5;Cartão;Entregar urgente
Noah Rodrigues;2023-06-30;+55 (081) 9874 2235;barrosfrancisco@rezende.br;9955.84;INATIVO;Roupas;sX19-01cQ;Viela Catarina Farias, 56, Vila Calafate, 52831-290 da Paz das Flores / CE;RS;32938262;Camisa;1;;
Larissa Pires;2024-12-25;+55 (051) 6313-4024;da-motamarina@hotmail.com;7164.93;ativo;Alimentos;oI59-62kU;Melo;SP;44576-231;Chocolate;3;;Atraso na entrega
